p,q,aic,bic
9,18,-3874.07449221383,-3731.749589123348
9,19,-3873.1129830917002,-3725.8803247222363
10,0,-3883.8167672234727,-3824.923703875687
10,1,-3881.7783764168817,-3817.9775577901137
10,2,-3884.130866034436,-3815.4222921286864
10,3,-3880.8911747055495,-3807.2748455208175
10,4,-3878.014434574377,-3799.490350110663
10,5,-3878.218718892218,-3794.7868791495216
10,6,-3882.4726115287867,-3794.133016507108
10,7,-3873.051759474189,-3779.8044091735287
10,8,-3874.7604383871776,-3776.605332807535
10,9,-3869.7357089605457,-3766.672848101921
10,10,-3873.9654438280013,-3765.9948276903942
10,11,-3873.5470041340386,-3760.6686327174493
10,12,-3874.9967555265016,-3757.2106288309305
10,13,-3881.5646272190506,-3758.8707452444974
10,14,-3879.9842455375388,-3752.3826082840033
10,15,-3879.5326421862064,-3747.0232496536887
10,16,-3873.6949145122453,-3736.2777667007454
10,17,-3871.7529387845875,-3729.4280356941053
10,18,-3872.253946960528,-3725.021288591064
10,19,-3869.0604621224734,-3716.920048474027
11,0,-3881.8258052621604,-3818.0249866353925
11,1,-3879.8799675939117,-3811.171393688162
11,2,-3881.1669224316224,-3807.5505932468905
11,3,-3881.0023815316845,-3802.4782970679703
11,4,-3873.849097517727,-3790.4172577750305
11,5,-3875.329591243236,-3786.9899962215572
11,6,-3882.1504393577115,-3788.903089057051
11,7,-3870.6711171672273,-3772.5160115875847
11,8,-3873.9472066067237,-3770.884345748099
11,9,-3868.22906122273,-3760.2584450851227
11,10,-3872.116116116993,-3759.2377447004037
11,11,-3874.244839000165,-3756.458712304594
11,12,-3871.8055229318948,-3749.1116409573415
11,13,-3880.9694034746035,-3753.367766221068
11,14,-3878.03085821476,-3745.5214656822423
11,15,-3878.2962603923615,-3740.8791125808616
11,16,-3871.8636782518224,-3729.5387751613403
11,17,-3869.0445027002165,-3721.8118443307526
11,18,-3871.066895903777,-3718.926482255331
11,19,-3867.027848063389,-3709.9796791359604
12,0,-3885.7431219594214,-3817.0345480536716
12,1,-3884.285713986796,-3810.669384802064
12,2,-3882.6304365503674,-3804.1063520866533
12,3,-3882.094551822819,-3798.6627120801227
12,4,-3880.351020136276,-3792.0114251145974
12,5,-3876.4431220715105,-3783.19577177085
12,6,-3878.5201672354897,-3780.365061655847
12,7,-3876.761389146119,-3773.6985282874944
12,8,-3879.154280702168,-3771.183664564561
12,9,-3876.7847141453685,-3763.9063427287792
12,10,-3873.332152291038,-3755.5460255954667
12,11,-3869.4140453713717,-3746.7201633968184
12,12,-3868.788487906257,-3741.1868506527217
12,13,-3873.653015936177,-3741.143623403659
12,14,-3873.6700187422985,-3736.2528709307985
12,15,-3871.3131628300594,-3728.988259739577
12,16,-3869.7975617583816,-3722.5649033889176
12,17,-3864.189430662076,-3712.04901701363
12,18,-3864.6965780066216,-3707.6484090791932
12,19,-3865.3015060107064,-3703.3455818042958
